               E1 ,                E2
    6008.78560609 ,     1088.47998047
    17415.0960246 ,      15482.205239
    30158.4332556 ,     1865.65088053
    5369.33042205 ,     2676.22222882
    2647.20896516 ,     50.8024834803
    4756.67602609 ,     717.889025817
   0.133301016617 ,     578.822386603
    362.515436319 ,     4039.66483581
     3191.4515635 ,     391.554720751
    15.9463157862 ,     605.743166139
    16.7142081724 ,     3478.94506259
     56.670444561 ,     130.181224422
  0.0181858570236 ,     224.280476899
    109047.518661 ,     15151.0002808
    210.599173967 ,     4790.93348486
    2.62425307294 ,     723.362014018
    20456.9857825 ,     1867.75008289
    1.97035271321 ,     9996.13910148
    60.4361963923 ,     4847.93861026
    7323.00303566 ,     4413.87175701
    1355.16655837 ,     978.815526796
    49314.3818859 ,     17321.0973792
    4393.26101576 ,     1722.97570286
     33714.587958 ,     2762.80466437
    16055.4276636 ,     17220.0528417
    24375.8570133 ,       28340.60699
    1796.85207773 ,     564.339076229
    150.710870739 ,     1509.80436299
   0.611575094862 ,     5315.38582523
    2218.46036844 ,     7162.59471201
     13871.176116 ,     1941.28076408
    1026.03638299 ,       157.7767577
    2097.10629667 ,     275.059052272
    1685.18783961 ,     5565.38416533
    31884.1096673 ,     950.439518662
    1666.30129632 ,     148.750363076
    18655.4754675 ,     25739.2008601
    17921.2423903 ,     36091.7697109
    5981.53455069 ,     113.466083621
    817.513520378 ,     2086.82546904
    4.64684272174 ,     1318.30001652
    23154.3463704 ,     7646.91343378
    203.190033824 ,     9.32649208175
    34588.7859013 ,     69.6487817851
    1215.18114817 ,     743.076457089
    25588.7339219 ,     827.800412531
     13337.207479 ,     5136.01409566
    1424.68967934 ,     311.835031116
    362.686004408 ,     6.71687011069
    24462.1553382 ,     29045.4027713
    14561.6550497 ,     69.0873379323
    10426.3158433 ,     23062.1892021
    140.596878694 ,     752.920133201
    1265.69202677 ,     1217.82112063
    990.576404194 ,     1254.16547538
    114.881405969 ,      2858.8957943
    9741.70803474 ,     5079.13378477
    5821.01980321 ,     7352.25868051
    23122.7334471 ,     2987.88306313
    188.745065752 ,     2.93271800968
    15979.4799166 ,     3265.93221782
    427.055738891 ,     3437.56586851
    3258.86471674 ,     1828.16582317
    3238.44771877 ,      121.92002425
    12055.4953101 ,     6009.15898553
    16664.0638781 ,      307.64795857
    10675.8007913 ,     1907.35901407
    49706.5396645 ,     8309.94916334
     585.58820972 ,     19048.8517075
    75.2922516066 ,      8708.7648888
    833.361362637 ,     1673.18292213
    27525.2037648 ,     4054.23816162
    4766.48872479 ,     20193.3990882
    7820.40676869 ,     17256.9710179
    7327.52285061 ,     214.243536284
    2226.61625361 ,     464.421211435
    4500.78220319 ,     2047.49413612
    2756.56621617 ,     5646.95610427
    41596.1090818 ,     1953.10651574
    51.1274322103 ,     32.2449429983
    4851.59930595 ,     217.442062969
    410.036341731 ,     2317.62450287
    960.721732864 ,     4749.92172792
    22323.4874313 ,     9925.72226392
    7259.43966142 ,     12099.3403315
    40512.9465551 ,     16157.8801064
    29201.3223041 ,     70.0756258213
    5934.02172354 ,     3552.78953232
    446.854581911 ,     1566.41798594
    3933.45180332 ,      109.46203171
    7759.40976238 ,     473.525170285
    4298.15816863 ,     256.150451895
    750.190283988 ,     308.493252243
    562.468123467 ,       611.5866858
    3911.39144353 ,      7979.5512872
    454.711386227 ,     7671.39057198
    4945.71323368 ,     4059.25123075
     10915.165576 ,     29924.1169713
    20889.8696859 ,     88.4249071702
    89817.5726472 ,     9106.23957885
    10879.3977101 ,     5344.39707546
     10287.568423 ,     3034.09107551
     22422.317008 ,     2887.99185554
    23.4446528845 ,     6354.89825931
    75.2425802663 ,     3734.11744578
    50.3114143576 ,     427.310668647
     21955.570271 ,     2145.44135668
    1070.94394079 ,     90.1028195683
    87.0362663362 ,     7893.02898923
    45138.3519171 ,     13499.5900238
    62414.0317507 ,     562.776062003
    6241.48047093 ,     1178.25194973
    46.0920464489 ,     1324.60769723
    814.901041687 ,     413.085950144
    5303.48826635 ,     11.9740355577
    8441.71270693 ,     1333.52869704
    2738.78693602 ,     11491.2201524
    15342.4315971 ,     29787.6312418
    519.324107772 ,     219.173601746
    42.2282678991 ,     356.845948375
    530.541451578 ,     2222.54622662
    915.794584775 ,     823.007920279
     16831.489425 ,     8963.39042065
    2439.98985999 ,     1726.05067449
    51778.2193137 ,     3909.35798771
     162.71505324 ,     106.413044776
    26541.8968673 ,     2983.00242767
    1060.79228339 ,     139.778352764
    2000.70239641 ,     5030.84827279
    4833.67707483 ,    0.119273600883
    13491.7447487 ,      7822.8922698
    10010.5551419 ,     8275.50800015
    148.217178914 ,     157.258263407
    88.3630818735 ,     1957.21683699
    9248.79917788 ,     13144.8535561
    7484.48194709 ,    0.738650234439
     40967.515801 ,      6922.9078038
     44595.353305 ,      9486.7063534
    129185.488342 ,     68217.5046351
    18931.1289726 ,     4588.74368597
    7264.81803297 ,     2287.71857983
    47.9239603929 ,     4286.66763784
    84.6693614405 ,      1491.8605271
    1914.45043799 ,     1951.54581326
    5.22109724538 ,     10.5953319259
    13500.0719915 ,     1528.29966621
     6348.4959096 ,     11545.9503077
    10334.5157194 ,     1519.74245335
    585.733634447 ,     641.287801489
    921.168471795 ,     1250.43234266
    17510.2385443 ,     5955.93561245
    136.677792018 ,     247.869296893
     65098.255407 ,     10716.5060294
    8004.60385719 ,     946.062296359
     35218.216079 ,     244.985068497
      5357.505194 ,     249.236021521
    733.364178827 ,      146.23471517
    15557.9381168 ,     650.277818322
    743.456463758 ,     5773.70320627
    1027.75125654 ,     5542.10376764
    4648.55727408 ,     1869.81461337
    117.388183366 ,     24781.3821445
     1021.2428842 ,     2848.72072944
    2823.31722588 ,     6678.41312888
    32945.9039912 ,     7245.30071631
    81713.0114078 ,     31422.5790479
    7240.57334914 ,     9328.70911153
    61.0169428928 ,      64.577226296
    50143.3490363 ,     10461.3846065
    1032.04252813 ,     5299.71398675
    2331.04622893 ,     6.12833279287
    291.986853462 ,     8084.65383786
    2863.20335216 ,     59.7680704186
    45186.8546296 ,     24233.9988808
     41241.154658 ,     14614.2394234
    9347.63887856 ,     1054.55844234
    11604.4442597 ,     158.924636122
    464.606194686 ,     14936.7559245
    547.501497227 ,     21721.6840611
    3008.04676137 ,     4550.62540703
    7512.28826935 ,     4472.71633708
    694.809312085 ,     349.084573919
    100.852010988 ,     85.3808759173
    11499.2974354 ,     2988.26535826
    6248.53786871 ,     50.7185199052
    45.8748877924 ,      1333.8977734
    29850.8999258 ,     47935.6305197
    7778.01305527 ,     43.7221399629
    19310.9361262 ,     3598.91860038
    5066.09844769 ,     10680.5638944
    6106.09737665 ,     373.314497886
     17846.937876 ,     9637.00150485
    1644.18870776 ,    0.646060117015
    34550.5299761 ,     47277.1773023
    134.306019673 ,     11606.0215645
     737.50066868 ,     2469.41605609
    15233.5831883 ,     1856.12161083
    25895.4717828 ,     10490.3481149
    4526.93792532 ,     6915.42021975
    1139.78247209 ,     2571.40490879
     26627.457494 ,     1353.69651091
    1.91498430669 ,      6258.9837407
    467.646787526 ,     1090.73999575
    25009.2740305 ,     31322.9507552
    46.2515213035 ,      1292.9491215
    52295.5172388 ,     8600.88550364
    1148.49426341 ,     924.330965298
